COUNTER,AF3,F7,F3, FC5, T7, P7, O1, O2,P8, T8, FC6, F4,F8, AF4,GYROX, GYROY, TIMESTAMP, FUNC_ID, FUNC_VALUE, MARKER, SYNC_SIGNAL
37,3857.44,4095.9,4205.64,4415.38,4510.26,4661.03,4491.28,4448.21,4169.23,4523.59,4890.26,4488.72,4401.54,4607.18,1707,1693,5.774,0,0,0,0
38,3852.31,4091.79,4196.92,4409.74,4474.87,4677.95,4489.23,4435.9,4163.08,4510.26,4876.92,4483.08,4393.85,4602.56,1707,1694,5.782,0,0,0,0
39,3854.36,4091.79,4201.54,4411.28,4471.28,4683.08,4492.31,4448.72,4168.21,4512.31,4882.05,4487.69,4399.49,4612.82,1706,1693,5.789,0,0,0,0
40,3857.44,4093.33,4205.13,4410.26,4497.44,4673.85,4494.36,4461.03,4175.9,4526.67,4898.46,4494.87,4410.77,4620,1706,1694,5.797,0,0,0,0
41,3849.23,4088.21,4198.46,4405.64,4520.51,4665.13,4491.28,4449.23,4168.72,4526.15,4895.38,4487.69,4404.1,4612.31,1706,1694,5.805,0,0,0,0
42,3850.77,4088.21,4203.59,4408.21,4506.15,4668.21,4489.23,4443.59,4165.64,4518.97,4888.72,4490.77,4398.97,4615.9,1705,1696,5.813,0,0,0,0
43,3860,4093.33,4211.79,4411.28,4471.28,4675.38,4492.31,4449.74,4172.82,4513.85,4889.74,4502.56,4401.54,4625.13,1705,1696,5.82,0,0,0,0
44,3860,4091.79,4208.21,4411.79,4466.15,4678.97,4489.23,4443.08,4170.26,4509.74,4889.74,4500.51,4401.03,4621.54,1703,1697,5.828,0,0,0,0
45,3858.97,4093.85,4206.15,4414.87,4501.03,4678.46,4479.49,4428.21,4163.59,4516.41,4891.79,4497.44,4404.1,4617.44,1704,1696,5.836,0,0,0,0
46,3863.08,4100,4209.74,4417.44,4514.36,4678.97,4474.36,4424.62,4166.15,4521.54,4889.74,4500.51,4406.67,4619.49,1702,1695,5.844,0,0,0,0
47,3862.56,4096.92,4210.26,4414.36,4485.13,4676.92,4482.05,4432.82,4170.77,4513.33,4881.03,4497.44,4398.97,4622.56,1701,1696,5.852,0,0,0,0
48,3856.41,4088.21,4208.21,4410.77,4463.59,4675.38,4491.79,4434.36,4165.64,4504.1,4876.92,4489.23,4389.74,4620.51,1701,1694,5.86,0,0,0,0
